Winner,moveCount,ML,BiC,wiC,Bw,Ww,numG
White,41,"[7, 6, 7, 5, 2, 1, 2, 2, 1, 7, 2, 5, 7, 1, 7, 3, 2, 5, 0, 4, 1, 1, 1, 3, 5, 6, 5, 5, 1, 0, 0, 2, 5, 5, 5, 4, 0, 2, 2, 1, 4, 7, 5, 6, 5, 1, 5, 2, 5, 6, 6, 5, 4, 1, 4, 3, 5, 4, 4, 3, 0, 1, 0, 3, 0, 4, 1, 2, 0, 0, 0, 1, 6, 5, 7, 6, 2, 1, 0, 0, 4, 3, 7, 2, 6, 1, 6, 3, 1, 2, 0, 4, 3, 1, 2, 2, 3, 7, 4, 7, 0, 0, 2, 1, 0, 4, 2, 5, 4, 0, 5, 1, 4, 6, 4, 4, 1, 3, 1, 4, 6, 6, 6, 4, 1, 4, 1, 5, 2, 5, 3, 7, 7, 0, 7, 1, 0, 6, 1, 5, 5, 0, 1, 4, 4, 7, 6, 5, 3, 0, 3, 5, 5, 7, 3, 5, 2, 0, 0, 2, 2, 6, 1, 5, 0, 3, 0, 4, 3, 5, 2, 4, 2, 1, 3, 3, 6, 5, 7, 4, 0, 1, 2, 1, 4, 4, 3, 3, 2, 2, 2, 3, 3, 6, 3, 5, 7, 1, 6, 1, 7, 2, 6, 1, 6, 0, 7, 2, 7, 6, 6, 6, 0, 2, 1, 3, 3, 3, 3, 2, 1, 3, 2, 4, 2, 7, 6, 3, 2, 1, 4, 1, 0, 7, 0, 4, 4, 1, 4, 4, 6, 3, 4, 5, 7, 2, 6, 4, 3, 5, 3, 4, 4, 4, 4, 5, 7, 4, 7, 2, 4, 5, 4, 7, 3, 2, 3, 1, 2, 4, 0, 2, 3, 4, 3, 3, 5, 2, 5, 3, 6, 7, 5, 5, 6, 4, 5, 2, 7, 2, 5, 2, 5, 1, 6, 0, 5, 2, 3, 0, 6, 0, 5, 1, 5, 5, 6, 7, 2, 3, 2, 4, 3, 0, 6, 3, 1, 4, 2, 5, 6, 1, 6, 0]",10,18,1,5,106
Black,37,"[3, 6, 3, 5, 6, 1, 6, 3, 5, 6, 5, 5, 5, 1, 5, 2, 1, 7, 3, 6, 1, 0, 0, 2, 0, 6, 0, 4, 4, 0, 5, 1, 3, 6, 4, 4, 6, 0, 7, 2, 1, 6, 1, 5, 4, 1, 4, 2, 3, 5, 3, 4, 7, 2, 6, 0, 6, 6, 5, 5, 2, 1, 2, 2, 6, 7, 7, 5, 5, 0, 4, 1, 4, 7, 3, 6, 5, 1, 6, 1, 7, 5, 6, 7, 4, 1, 5, 0, 7, 6, 7, 4, 5, 2, 5, 3, 3, 6, 4, 5, 6, 3, 7, 4, 0, 7, 0, 6, 5, 0, 4, 1, 2, 6, 2, 4, 0, 2, 2, 3, 1, 5, 0, 4, 7, 1, 7, 3, 3, 7, 1, 5, 2, 3, 1, 5, 4, 5, 5, 4, 3, 1, 3, 2, 5, 4, 6, 5, 0, 1, 0, 3, 7, 7, 7, 6, 7, 0, 7, 2, 6, 5, 6, 4, 2, 0, 3, 1, 7, 6, 5, 6, 7, 2, 5, 2, 0, 6, 3, 6, 5, 3, 4, 4, 2, 7, 1, 6, 6, 1, 5, 1, 1, 6, 0, 7, 4, 4, 5, 5, 3, 6, 3, 7, 3, 0, 2, 0, 5, 6, 5, 5, 1, 5, 3, 4, 6, 4, 6, 3, 5, 2, 5, 3, 6, 3, 6, 2, 4, 1, 5, 2, 0, 7, 1, 6, 5, 3, 2, 3, 4, 6, 4, 5, 7, 4, 2, 5, 6, 7, 4, 6, 2, 3, 6, 3, 6, 2, 7, 1, 6, 3, 6, 5, 5, 7, 6, 6, 6, 5, 6, 1, 7, 1, 7, 0, 2, 2, 2, 3, 3, 7, 5, 7, 3, 4, 2, 6, 5, 5, 5, 4, 6, 0, 4, 1]",27,39,2,5,115
Black,49,"[6, 6, 6, 5, 1, 1, 1, 2, 6, 7, 5, 5, 4, 1, 4, 3, 5, 7, 7, 5, 6, 1, 6, 2, 6, 5, 6, 4, 5, 0, 6, 1, 5, 5, 4, 3, 7, 1, 7, 3, 1, 7, 0, 5, 6, 1, 5, 0, 5, 6, 5, 4, 2, 1, 2, 2, 4, 7, 7, 7, 2, 2, 2, 3, 4, 3, 2, 4, 7, 3, 7, 4, 5, 7, 4, 7, 3, 1, 3, 3, 3, 6, 3, 4, 5, 0, 4, 1, 7, 5, 6, 6, 5, 1, 6, 2, 6, 6, 5, 7, 6, 0, 7, 2, 0, 5, 1, 3, 7, 2, 6, 4, 0, 7, 1, 7, 7, 0, 7, 2, 1, 6, 1, 5, 6, 2, 6, 3, 5, 7, 7, 5, 4, 0, 5, 1, 1, 7, 0, 7, 7, 2, 7, 0, 1, 3, 0, 1, 1, 2, 2, 3, 2, 4, 3, 2, 5, 1, 5, 2, 7, 5, 6, 4, 0, 0, 0, 1, 4, 6, 4, 4, 7, 0, 7, 1, 6, 7, 7, 7, 3, 0, 5, 0, 4, 7, 4, 6, 7, 4, 3, 5, 2, 6, 2, 5, 7, 1, 7, 3, 3, 2, 1, 3, 0, 1, 1, 1, 2, 7, 1, 6, 1, 0, 0, 2, 6, 4, 5, 5, 1, 1, 1, 3, 3, 7, 1, 7, 5, 2, 6, 2, 7, 7, 6, 7, 5, 0, 5, 2, 5, 5, 7, 3, 6, 2, 6, 1, 1, 7, 5, 7, 2, 3, 2, 4, 5, 7, 4, 7, 0, 2, 1, 4, 7, 3, 4, 0, 3, 3, 2, 4, 0, 6, 0, 5, 1, 4, 3, 3, 4, 6, 5, 6, 5, 2, 5, 3, 4, 0, 5, 1, 6, 1, 7, 2, 7, 6, 7, 4, 5, 3, 7, 5, 5, 1, 6, 0, 7, 5, 4, 2, 1, 5, 1, 4, 2, 0, 0, 2, 2, 5, 1, 4, 4, 1, 1, 4, 4, 7, 4, 5, 4, 2, 3, 2, 1, 6, 3, 4, 7, 2, 6, 2, 5, 6, 5, 7, 6, 3, 7, 4, 5, 7, 4, 7, 3, 3, 4, 5, 3, 4, 2, 3, 6, 2, 6, 3, 4, 7, 5, 7, 3, 2, 5, 2, 6, 0, 5, 1, 5, 2, 1, 6, 6, 7, 7, 7, 1, 6, 6, 6]",206,221,3,5,198
White,34,"[1, 7, 2, 5, 3, 1, 3, 2, 3, 6, 2, 5, 2, 0, 3, 1, 4, 6, 4, 5, 7, 1, 7, 3, 5, 6, 5, 5, 3, 1, 6, 4, 5, 5, 5, 4, 7, 0, 7, 2, 6, 7, 5, 5, 7, 2, 5, 2, 5, 4, 5, 3, 2, 1, 2, 3, 7, 6, 7, 4, 4, 1, 3, 2, 1, 6, 1, 5, 4, 0, 4, 1, 5, 7, 4, 6, 4, 1, 4, 0, 4, 7, 7, 7, 6, 0, 7, 2, 3, 7, 3, 5, 3, 0, 1, 2, 6, 6, 5, 5, 1, 2, 0, 2, 2, 6, 1, 5, 4, 0, 4, 1, 4, 5, 4, 4, 1, 0, 3, 1, 4, 4, 5, 3, 6, 1, 6, 2, 1, 5, 1, 4, 0, 2, 3, 5, 6, 7, 6, 6, 2, 3, 2, 4, 6, 6, 6, 5, 6, 2, 7, 3, 4, 6, 3, 7, 3, 5, 4, 5, 2, 7, 4, 5, 0, 0, 4, 0, 6, 5, 6, 6, 6, 4, 5, 5, 6, 6, 6, 5, 5, 5, 4, 4, 5, 7, 6, 7, 7, 2, 6, 0, 0, 7, 1, 7, 5, 2, 5, 3, 6, 5, 6, 4, 6, 0, 5, 2, 6, 4, 7, 5, 3, 2, 3, 3, 1, 7, 2, 7, 3, 1, 1, 2, 2, 7, 0, 7, 4, 4, 1, 7, 6, 7, 4, 7, 4, 0, 1, 0, 4, 7, 6, 7, 5, 3, 6, 3, 3, 7, 6, 4, 1, 0, 3, 0, 6, 7, 4, 7, 1, 7, 0, 6, 4, 5, 2, 3]",190,151,3,6,282
White,22,"[1, 6, 1, 4, 6, 0, 5, 2, 5, 6, 5, 4, 4, 1, 5, 2, 1, 4, 1, 3, 0, 1, 0, 2, 7, 6, 7, 5, 5, 0, 2, 3, 6, 6, 7, 5, 2, 1, 2, 2, 2, 6, 2, 5, 2, 3, 4, 1, 2, 7, 0, 5, 3, 0, 1, 2, 4, 6, 4, 5, 7, 0, 5, 0, 0, 6, 0, 4, 0, 0, 0, 1, 0, 7, 0, 6, 0, 1, 0, 0, 6, 7, 5, 5, 1, 2, 2, 1, 1, 3, 0, 2, 4, 1, 2, 3, 4, 7, 4, 6, 2, 3, 0, 1, 4, 5, 4, 4, 2, 1, 5, 4, 7, 5, 7, 4, 3, 1, 3, 2, 0, 4, 0, 3, 1, 1, 1, 2, 3, 6, 2, 5, 2, 0, 6, 4, 0, 5, 1, 4, 1, 0, 0, 2, 0, 6, 1, 6, 1, 2, 0, 3, 3, 7, 3, 2, 7, 1, 7, 2, 7, 7, 7, 5, 0, 1, 3, 4, 3, 2, 4, 1]",196,173,3,7,290
Black,39,"[7, 6, 7, 4, 3, 1, 3, 2, 1, 7, 0, 5, 6, 1, 6, 3, 0, 5, 1, 7, 5, 0, 6, 1, 0, 6, 0, 4, 6, 1, 5, 0, 1, 7, 0, 5, 3, 0, 3, 1, 5, 6, 5, 5, 3, 1, 4, 2, 2, 6, 2, 4, 4, 2, 3, 1, 2, 4, 2, 3, 3, 1, 3, 0, 2, 3, 6, 2, 5, 1, 6, 2, 0, 5, 2, 6, 7, 1, 7, 2, 2, 6, 1, 4, 2, 1, 3, 2, 6, 6, 6, 4, 3, 0, 1, 2, 3, 6, 3, 5, 6, 0, 5, 2, 1, 6, 1, 5, 5, 2, 6, 4, 1, 4, 2, 6, 1, 2, 0, 2, 7, 4, 7, 3, 0, 2, 3, 5, 2, 7, 6, 3, 0, 1, 0, 3, 7, 7, 7, 4, 6, 4, 5, 6, 7, 4, 3, 4, 2, 0, 4, 2, 4, 6, 5, 5, 3, 2, 3, 3, 3, 4, 4, 4, 4, 2, 5, 3, 6, 3, 7, 2, 3, 5, 1, 5, 3, 7, 3, 3, 1, 5, 5, 5, 7, 2, 2, 7, 5, 5, 1, 5, 3, 3, 4, 3, 6, 2, 7, 3, 4, 4, 5, 4, 1, 5, 1, 3, 4, 3, 2, 1, 5, 3, 7, 1, 2, 1, 2, 2, 1, 3, 2, 2, 5, 4, 2, 4, 5, 6, 3, 7, 4, 7, 3, 6, 5, 0, 7, 2, 3, 6, 3, 7, 7, 1, 5, 3, 2, 4, 6, 4, 7, 0, 7, 1, 6, 4, 6, 1, 1, 0, 0, 2, 3, 7, 4, 7, 7, 1, 6, 1, 4, 7, 5, 6, 6, 1, 6, 5, 2, 6, 4, 5, 6, 5, 6, 4, 4, 5, 6, 6, 4, 0, 3, 0, 5, 7, 4, 6, 7, 2, 3, 6, 0, 7, 0, 5, 2, 2, 6, 6]",95,95,4,7,343
White,6,"[4, 6, 4, 4, 3, 1, 3, 3, 1, 7, 2, 5, 3, 3, 3, 4, 3, 7, 7, 3, 3, 0, 3, 1, 7, 3, 7, 5, 3, 4, 4, 5, 7, 6, 7, 4, 3, 1, 0, 4, 7, 5, 2, 0]",98,99,4,8,346
White,10,"[7, 6, 7, 4, 1, 0, 2, 2, 6, 6, 6, 5, 0, 1, 0, 2, 1, 6, 1, 5, 1, 1, 1, 3, 4, 6, 4, 5, 0, 0, 1, 0, 5, 7, 4, 6, 2, 1, 2, 3, 4, 6, 5, 5, 3, 0, 0, 3, 2, 7, 1, 6, 0, 3, 3, 0, 5, 6, 5, 4, 5, 1, 5, 3, 4, 5, 5, 4, 6, 1, 6, 3, 5, 5, 7, 3]",170,188,4,9,486
White,29,"[3, 6, 3, 4, 0, 1, 0, 2, 1, 7, 3, 6, 7, 1, 7, 2, 6, 6, 6, 4, 2, 1, 2, 2, 0, 6, 0, 4, 6, 1, 6, 3, 3, 6, 4, 4, 7, 0, 7, 1, 7, 6, 7, 4, 3, 0, 0, 3, 2, 7, 3, 6, 3, 1, 3, 2, 1, 6, 1, 4, 0, 3, 4, 3, 3, 6, 2, 7, 0, 2, 0, 3, 4, 4, 3, 2, 4, 3, 3, 2, 7, 4, 7, 3, 3, 2, 4, 3, 4, 6, 4, 5, 4, 3, 5, 3, 7, 7, 7, 6, 5, 3, 4, 3, 0, 7, 0, 6, 4, 3, 7, 0, 2, 7, 3, 6, 4, 0, 3, 0, 5, 7, 1, 3, 2, 0, 5, 3, 6, 7, 5, 5, 5, 3, 2, 0, 1, 3, 0, 2, 0, 0, 0, 2, 3, 4, 3, 3, 7, 2, 6, 3, 2, 6, 2, 4, 1, 0, 3, 1, 3, 7, 2, 6, 7, 0, 3, 4, 1, 4, 1, 3, 3, 4, 6, 1, 7, 6, 7, 4, 2, 2, 3, 3, 2, 6, 2, 7, 6, 1, 4, 3, 5, 5, 4, 3, 3, 0, 2, 1, 4, 3, 3, 5, 6, 3, 7, 4, 2, 4, 3, 3, 2, 1, 1, 2, 5, 6, 4, 5, 3, 1, 4, 3, 2, 7, 2, 3]",101,88,4,10,543
Black,21,"[1, 7, 0, 5, 4, 1, 4, 3, 5, 6, 5, 4, 4, 3, 5, 4, 2, 6, 2, 5, 6, 0, 7, 2, 2, 5, 2, 4, 5, 1, 5, 2, 6, 6, 6, 4, 0, 1, 0, 2, 6, 4, 6, 3, 7, 2, 5, 1, 5, 7, 6, 6, 1, 0, 2, 2, 1, 6, 1, 4, 5, 4, 1, 5, 4, 7, 5, 7, 5, 1, 7, 2, 7, 6, 7, 4, 1, 5, 1, 6, 2, 7, 1, 6, 7, 2, 6, 4, 3, 7, 1, 7, 1, 1, 1, 3, 1, 6, 3, 4, 3, 1, 2, 2, 0, 5, 1, 3, 2, 2, 1, 3, 3, 4, 2, 3, 4, 0, 5, 1, 7, 7, 7, 6, 2, 0, 5, 3, 2, 3, 4, 1, 3, 0, 3, 6, 4, 1, 3, 2, 3, 6, 1, 6, 3, 2, 5, 0, 5, 3, 1, 7, 7, 4, 6, 3, 0, 0, 1, 0, 4, 6, 4, 5, 1, 6, 5, 6]",140,116,5,10,563
Black,42,"[4, 6, 4, 4, 1, 0, 2, 2, 2, 6, 2, 5, 0, 1, 0, 3, 6, 6, 6, 5, 6, 1, 6, 3, 3, 6, 3, 5, 1, 1, 1, 3, 7, 6, 7, 4, 5, 1, 5, 2, 3, 7, 2, 6, 3, 1, 3, 3, 7, 7, 7, 5, 2, 0, 4, 2, 7, 5, 7, 6, 5, 2, 5, 3, 0, 6, 0, 4, 3, 0, 3, 1, 6, 5, 6, 4, 2, 2, 0, 1, 7, 4, 6, 3, 0, 0, 2, 0, 2, 7, 5, 4, 3, 1, 3, 0, 5, 4, 4, 3, 4, 2, 5, 1, 6, 7, 4, 6, 1, 3, 0, 4, 4, 3, 7, 0, 5, 1, 4, 2, 2, 6, 1, 5, 0, 4, 0, 5, 1, 5, 3, 3, 5, 0, 7, 2, 0, 7, 0, 6, 3, 0, 3, 2, 1, 6, 1, 5, 4, 1, 4, 3, 4, 7, 3, 7, 3, 2, 2, 2, 7, 6, 6, 6, 2, 0, 1, 0, 0, 6, 3, 6, 0, 1, 1, 3, 3, 7, 2, 7, 6, 0, 5, 2, 3, 3, 2, 4, 7, 2, 5, 0, 7, 0, 5, 2, 2, 1, 2, 3, 5, 2, 4, 1, 1, 3, 3, 4, 2, 4, 0, 2, 1, 0, 1, 3, 5, 6, 5, 5, 1, 3, 1, 0, 4, 1, 3, 0, 1, 0, 3, 0, 6, 3, 6, 2, 7, 1, 6, 2, 6, 6, 5, 6, 3, 4, 2, 6, 0, 2, 0, 1, 4, 2, 6, 0, 2, 7, 1, 6, 2, 3, 2, 4, 1, 6, 2, 7, 0, 5, 0, 6, 0, 1, 0, 2, 2, 2, 1, 1, 5, 5, 4, 4, 6, 0, 3, 3, 5, 6, 5, 3, 5, 0, 0, 5, 2, 7, 2, 6, 0, 5, 2, 3, 4, 4, 5, 3, 3, 3, 4, 2, 4, 6, 3, 4, 1, 1, 1, 5, 2, 6, 2, 7, 4, 0, 4, 1, 5, 3, 5, 2, 0, 6, 1, 7]",98,73,6,10,631
White,37,"[5, 6, 5, 4, 6, 1, 6, 2, 2, 6, 2, 5, 7, 1, 7, 2, 5, 4, 5, 3, 1, 1, 1, 2, 3, 7, 2, 6, 5, 0, 6, 1, 4, 6, 4, 5, 4, 1, 4, 3, 3, 6, 4, 5, 6, 2, 6, 3, 6, 7, 5, 5, 3, 1, 3, 3, 0, 6, 0, 5, 3, 0, 5, 2, 1, 6, 1, 5, 2, 1, 2, 3, 5, 5, 7, 4, 1, 2, 2, 3, 1, 7, 3, 6, 4, 3, 4, 4, 5, 3, 3, 2, 2, 0, 6, 4, 7, 6, 7, 5, 7, 2, 7, 3, 7, 5, 6, 4, 6, 0, 7, 2, 3, 6, 1, 7, 5, 2, 5, 5, 2, 6, 1, 6, 4, 0, 3, 1, 7, 4, 6, 2, 3, 1, 3, 2, 7, 7, 7, 6, 3, 2, 3, 1, 5, 7, 3, 5, 4, 4, 3, 5, 6, 2, 7, 0, 7, 2, 5, 3, 7, 0, 6, 2, 5, 3, 3, 2, 6, 2, 7, 4, 1, 0, 2, 2, 1, 6, 4, 6, 0, 0, 4, 0, 4, 6, 3, 6, 4, 0, 4, 5, 3, 6, 4, 5, 5, 5, 6, 4, 4, 5, 4, 1, 3, 1, 2, 0, 7, 4, 6, 2, 5, 1, 5, 3, 6, 6, 6, 5, 6, 4, 7, 4, 4, 7, 4, 6, 7, 4, 1, 4, 4, 1, 3, 2, 3, 5, 3, 6, 3, 2, 5, 0, 2, 0, 1, 1, 5, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 3, 7, 6, 7, 5, 6, 1, 5, 0, 7, 5, 7, 7, 5, 0, 6, 1, 0, 1, 1, 1, 1, 3, 0, 3, 0, 5, 1, 4]",124,111,6,11,646
Black,14,"[1, 7, 0, 5, 1, 1, 1, 3, 6, 6, 6, 4, 5, 1, 5, 3, 0, 7, 1, 7, 1, 3, 1, 4, 6, 7, 7, 5, 0, 1, 0, 3, 7, 5, 5, 4, 6, 0, 5, 2, 0, 6, 0, 4, 2, 1, 2, 2, 1, 7, 0, 7, 5, 2, 6, 0, 5, 4, 6, 6, 6, 0, 7, 2, 2, 6, 2, 4, 7, 2, 6, 0, 6, 6, 4, 5, 4, 1, 4, 3, 0, 5, 1, 7, 3, 0, 4, 1, 0, 7, 0, 6, 2, 0, 1, 1, 1, 6, 1, 5, 4, 0, 3, 0, 5, 6, 5, 4, 4, 1, 7, 4]",141,141,7,11,657
Black,39,"[7, 6, 7, 4, 7, 1, 7, 3, 7, 7, 7, 5, 1, 1, 1, 2, 7, 5, 7, 6, 6, 0, 7, 2, 7, 6, 7, 5, 7, 2, 6, 4, 1, 7, 0, 5, 7, 3, 6, 4, 6, 7, 5, 5, 5, 1, 5, 2, 5, 5, 4, 3, 1, 0, 0, 2, 4, 3, 5, 5, 4, 1, 5, 2, 7, 5, 6, 5, 3, 1, 3, 3, 6, 6, 5, 5, 2, 0, 5, 3, 0, 5, 2, 4, 3, 0, 3, 2, 2, 4, 4, 3, 2, 1, 2, 3, 3, 6, 3, 5, 7, 0, 7, 3, 6, 5, 6, 4, 7, 3, 6, 3, 5, 7, 6, 6, 5, 3, 4, 2, 3, 7, 3, 6, 3, 2, 2, 1, 2, 6, 2, 4, 3, 3, 2, 4, 4, 3, 6, 2, 4, 2, 2, 0, 3, 6, 6, 3, 2, 0, 6, 4, 4, 6, 4, 4, 2, 1, 1, 0, 4, 7, 3, 6, 5, 2, 6, 3, 3, 5, 3, 4, 1, 0, 1, 1, 0, 6, 0, 4, 6, 4, 3, 1, 5, 6, 5, 4, 0, 2, 1, 4, 6, 2, 5, 0, 1, 4, 3, 3, 5, 0, 6, 2, 3, 1, 1, 3, 7, 4, 6, 3, 1, 1, 2, 0, 3, 6, 3, 7, 2, 0, 6, 4, 2, 7, 4, 5, 1, 3, 0, 2, 6, 6, 7, 5, 3, 3, 1, 4, 0, 7, 2, 7, 0, 1, 0, 3, 6, 2, 7, 4, 6, 4, 2, 0, 6, 3, 6, 2, 2, 0, 3, 1, 2, 7, 0, 7, 0, 0, 1, 0, 5, 5, 4, 4, 3, 1, 3, 4, 3, 7, 4, 7, 3, 4, 3, 5, 0, 7, 2, 7, 1, 2, 2, 3, 2, 7, 1, 7, 2, 4, 0, 5, 1, 6, 0, 5, 3, 5, 4, 6]",174,162,8,11,775
Black,40,"[1, 6, 1, 5, 1, 0, 2, 2, 6, 7, 7, 5, 0, 1, 0, 3, 5, 6, 5, 4, 1, 1, 1, 3, 5, 4, 5, 3, 2, 0, 0, 2, 6, 6, 7, 5, 2, 2, 3, 4, 0, 6, 0, 5, 0, 2, 2, 0, 2, 6, 2, 5, 2, 1, 2, 2, 1, 5, 1, 4, 7, 1, 7, 2, 2, 5, 3, 4, 3, 0, 2, 1, 5, 3, 0, 2, 2, 1, 3, 0, 7, 7, 6, 7, 3, 1, 3, 3, 6, 7, 6, 4, 6, 0, 5, 2, 1, 7, 2, 5, 5, 2, 6, 4, 3, 6, 2, 5, 6, 4, 7, 6, 0, 7, 0, 6, 2, 0, 4, 2, 2, 7, 4, 5, 2, 2, 3, 3, 4, 6, 4, 4, 0, 0, 2, 0, 2, 5, 3, 4, 6, 1, 7, 2, 3, 7, 3, 5, 5, 1, 4, 2, 3, 5, 2, 6, 7, 0, 6, 0, 2, 6, 3, 7, 2, 0, 2, 5, 0, 6, 3, 6, 6, 0, 7, 0, 3, 6, 3, 5, 2, 5, 3, 5, 4, 5, 5, 4, 4, 0, 5, 1, 5, 4, 6, 5, 3, 5, 3, 6, 6, 5, 7, 6, 5, 1, 6, 2, 5, 7, 1, 3, 3, 6, 2, 6, 3, 7, 1, 7, 7, 0, 6, 0, 1, 3, 4, 0, 6, 2, 5, 3, 0, 2, 0, 1, 4, 2, 4, 3, 3, 4, 4, 3, 2, 6, 3, 6, 4, 0, 3, 1, 3, 0, 3, 1, 1, 7, 2, 7, 3, 3, 4, 4, 2, 7, 2, 6, 5, 0, 6, 1, 0, 5, 1, 4, 3, 1, 3, 3, 2, 6, 2, 7, 6, 0, 2, 0, 2, 7, 2, 1, 7, 2, 7, 3, 2, 1, 2, 4, 3, 3, 3, 4, 2, 4, 3, 3, 2, 0, 2, 6, 3, 3, 2, 2, 3, 4, 5, 6]",190,180,9,11,784
Black,24,"[6, 7, 5, 5, 2, 1, 2, 3, 6, 6, 6, 4, 5, 1, 5, 3, 5, 7, 6, 6, 6, 1, 6, 3, 6, 4, 5, 3, 0, 1, 0, 3, 1, 6, 1, 5, 5, 0, 6, 1, 5, 3, 0, 2, 1, 0, 0, 2, 7, 7, 6, 7, 1, 1, 0, 2, 7, 6, 7, 4, 6, 0, 7, 2, 3, 6, 3, 5, 6, 1, 5, 0, 2, 7, 1, 6, 3, 1, 3, 3, 4, 6, 3, 5, 2, 0, 7, 5, 3, 7, 2, 7, 7, 2, 6, 4, 5, 5, 6, 3, 7, 1, 7, 3, 6, 6, 4, 4, 0, 0, 1, 0, 6, 3, 5, 1, 3, 0, 0, 3, 1, 7, 3, 6, 6, 4, 7, 2, 6, 7, 6, 6, 0, 3, 1, 3, 4, 4, 5, 3, 1, 3, 1, 5, 0, 6, 0, 5, 7, 5, 5, 3, 0, 5, 0, 4, 5, 3, 6, 4, 0, 4, 0, 3, 1, 5, 3, 5, 1, 6, 7, 0, 7, 2, 5, 3, 6, 6, 7, 6, 5, 3, 3, 4, 5, 1, 3, 0, 3, 5, 4, 6]",198,187,10,11,788
Black,42,"[5, 6, 5, 5, 0, 1, 0, 3, 0, 6, 0, 5, 0, 3, 0, 4, 1, 6, 1, 5, 6, 1, 6, 3, 4, 6, 4, 5, 6, 0, 5, 2, 4, 7, 4, 6, 7, 0, 6, 0, 7, 6, 7, 5, 7, 1, 7, 2, 4, 6, 3, 5, 0, 0, 0, 1, 6, 6, 6, 4, 5, 0, 6, 1, 3, 7, 4, 7, 7, 2, 6, 3, 4, 7, 4, 6, 0, 1, 0, 2, 3, 6, 4, 5, 3, 1, 3, 3, 7, 5, 7, 4, 2, 0, 5, 3, 6, 4, 5, 3, 5, 2, 4, 4, 2, 6, 2, 4, 6, 1, 7, 2, 1, 7, 2, 5, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 6, 5, 2, 5, 0, 6, 0, 2, 2, 2, 4, 6, 3, 6, 6, 5, 4, 6, 1, 5, 0, 4, 7, 2, 6, 1, 3, 6, 0, 3, 2, 2, 4, 2, 2, 7, 6, 3, 6, 1, 7, 2, 0, 6, 2, 7, 3, 0, 3, 1, 6, 3, 5, 4, 5, 1, 5, 2, 7, 7, 7, 6, 4, 2, 3, 2, 5, 4, 6, 5, 4, 1, 3, 2, 0, 3, 3, 6, 6, 0, 7, 0, 3, 6, 1, 4, 2, 1, 3, 2, 7, 4, 7, 3, 3, 1, 6, 1, 3, 4, 3, 3, 4, 6, 5, 4, 3, 5, 4, 4, 6, 1, 3, 1, 1, 4, 3, 2, 3, 1, 1, 3, 6, 5, 5, 6, 5, 4, 6, 6, 6, 7, 4, 6, 7, 2, 5, 4, 5, 6, 2, 3, 1, 0, 2, 2, 7, 3, 7, 2, 5, 4, 3, 6, 7, 2, 7, 1, 1, 3, 0, 4, 3, 2, 5, 0, 4, 0, 3, 1, 4, 6, 2, 5, 0, 4, 1, 5, 5, 0, 4, 0, 7, 0, 4, 0, 4, 4, 3, 5, 4, 0, 4, 2, 3, 3, 2, 2, 6, 6, 7, 4, 7, 6, 5, 6, 1, 5, 2, 5]",112,122,11,11,851
Black,20,"[4, 6, 4, 4, 4, 1, 4, 2, 5, 7, 2, 4, 5, 0, 1, 4, 2, 4, 3, 3, 3, 1, 3, 2, 3, 7, 6, 4, 2, 0, 3, 1, 6, 4, 3, 7, 3, 0, 6, 3, 4, 4, 4, 3, 2, 1, 3, 2, 0, 6, 0, 5, 5, 1, 5, 2, 4, 3, 5, 2, 6, 3, 7, 2, 6, 6, 6, 4, 4, 2, 4, 3, 3, 3, 4, 4, 3, 1, 2, 2, 3, 7, 4, 6, 1, 0, 0, 2, 4, 6, 2, 4, 4, 0, 3, 0, 4, 4, 3, 3, 0, 2, 2, 1, 3, 3, 6, 0, 7, 2, 3, 6, 4, 7, 5, 7, 1, 1, 1, 3, 6, 7, 7, 5, 2, 2, 5, 5, 1, 6, 1, 5, 1, 3, 2, 4, 7, 5, 6, 7, 3, 0, 4, 0, 6, 0, 5, 1, 4, 0, 5, 1, 5, 2, 6, 1, 3, 6, 4, 7]",155,167,12,11,869
